,Unnamed: 0,代碼,公司名稱
547,547,2892,第一金控
548,548,2002,中鋼
549,549,2006,東鋼
550,550,2007,燁興
551,551,2008,高興昌
552,552,2009,第一銅
553,553,2010,春源
554,554,2012,春雨
555,555,2013,中鋼構
556,556,2014,燁隆
557,557,2015,豐興
558,558,2017,嘉益
559,559,2020,美亞
560,560,2022,聚亨
561,561,2023,燁輝
562,562,2024,志聯
563,563,2025,千興
564,564,2027,大成鋼
565,565,2028,威致
566,566,2029,盛餘
567,567,2030,彰源
568,568,2031,新光鋼
569,569,2032,新鋼
570,570,2033,佳大
571,571,2034,允強
572,572,1601,台光
573,573,1602,太電
574,574,1603,華電
575,575,1604,聲寶
576,576,1605,華新
577,577,1606,歌林
578,578,1608,華榮
579,579,1609,大亞
580,580,1611,中電
581,581,1612,宏泰
582,582,1613,台一
583,583,1614,三洋
584,584,1615,大山
585,585,1616,億泰
586,586,1617,榮星
587,587,1618,合機
588,588,1503,士電
589,589,1504,東元
590,590,1506,正道
591,591,1507,永大
592,592,1510,台安
593,593,1512,瑞利
594,594,1513,中興電工
595,595,1514,亞力
596,596,1515,力山
597,597,1516,川飛
598,598,1517,利奇
599,599,1519,華城
600,600,1520,復盛
601,601,1521,大億
602,602,1522,堤維西
603,603,1523,開億
604,604,1524,耿鼎
605,605,1525,江申
606,606,1526,日馳
607,607,1527,鑽全
608,608,1528,恩德
609,609,1529,樂士
610,610,1530,亞崴
611,611,1531,高林股
612,612,1532,勤美
613,613,1533,車王電
614,614,1534,新企
615,615,1535,中宇
616,616,1536,和大
617,617,1537,廣隆
618,618,1538,正峰工
619,619,1539,巨庭
620,620,1540,喬福
621,621,1541,錩泰
622,622,1201,味全
623,623,1203,味王
624,624,1204,津津
625,625,1207,嘉食化
626,626,1210,大成
627,627,1212,中日
628,628,1213,大飲
629,629,1215,卜蜂
630,630,1216,統一
631,631,1217,愛之味
632,632,1218,泰山
633,633,1219,福壽
634,634,1220,台榮
635,635,1221,久津
636,636,1224,惠勝
637,637,1225,福懋油脂
638,638,1227,佳格
639,639,1228,台芳
640,640,1229,聯華
641,641,1231,聯華食品
642,642,1232,大統益
643,643,1233,天仁
644,644,1234,黑松
645,645,1235,興泰
646,646,1236,宏亞
647,0,8905,裕國
648,1,8906,花王
649,2,8908,欣雄
650,3,8913,華夏租賃
651,4,8916,光隆
652,5,8917,欣泰
653,6,8921,沈氏印刷
654,7,8923,時報出版
655,8,8924,大田
656,9,8925,偉盟
657,10,8926,台汽電
658,11,8927,北基
659,12,8928,鉅明
660,13,8929,富堡
661,14,8930,青鋼
662,15,8931,大園汽電
663,16,8932,宏大
664,17,8933,愛地雅
665,18,8934,喬工
666,19,8935,邦泰
667,20,8936,國統
668,21,8937,合騏
669,22,8938,明安
670,23,8940,新天地
671,24,8941,關中
672,25,8942,森鉅
673,26,4702,中美實
674,27,4703,金美克能
675,28,4706,大恭
676,29,4707,磐亞
677,30,4711,永純
678,31,4712,南璋
679,32,4714,永捷
680,33,4716,大立
681,34,4717,天泰
682,35,4720,德淵
683,36,4721,美琪瑪
684,37,4303,信立
685,38,4304,琨詰
686,39,4305,世坤
687,40,4306,炎洲
688,41,5102,富強
689,42,5501,金腦科
690,43,5505,和旺
691,44,5506,長鴻
692,45,5508,永信建設
693,46,5511,德昌
694,47,5512,力麒
695,48,5514,三豐
696,49,5515,建國工程
697,50,5516,雙喜
698,51,5519,隆大
699,52,5520,力泰
700,53,5521,工信工程
701,54,5522,大都市
702,55,5523,宏都
703,56,5524,全友建設
704,57,5525,順天
705,58,5528,廣大
706,59,5529,訊嘉
707,60,5530,大漢
708,61,5531,鄉林
709,62,5532,竟誠建築
710,63,5533,皇鼎建設
711,64,5534,長虹
712,65,6401,助群
713,66,6402,基泰營
714,67,4801,景泰
715,68,4102,永日
716,69,4103,百略
717,70,4104,東貿
718,71,4105,東洋
719,72,4106,雃博
720,73,4107,邦拓
721,74,4108,懷特
722,75,4109,加捷
723,76,4110,博登
724,77,4111,濟生
725,78,4113,榮睿
726,79,4114,健喬
727,80,8705,東隆
728,81,8707,中精機
729,82,8708,大鋼
730,83,8710,易欣
731,84,8712,國產車
732,85,8718,工礦
733,86,8719,宏福
734,87,8720,元富
735,88,8721,尚鋒
736,89,8722,尚德
737,90,8723,順大裕
738,91,8724,立大
739,92,8725,三采
740,93,4401,東隆興
741,94,4402,福大
742,95,4404,百成行
743,96,4406,新昕
744,97,4408,聯明
745,98,4413,赤崁
746,99,4414,如興
747,100,4415,勤龍
748,101,4416,福纖實業
749,102,4417,金洲
750,103,4419,松懋化學
751,104,4420,光明
752,105,6502,國隆
753,106,5701,劍湖山
754,107,5702,統合
755,108,5703,亞都麗緻
756,109,5704,知本老爺
757,110,5706,鳳凰
758,111,6001,建華證券
759,112,6002,台育證券
760,113,6003,大華證券
761,114,6004,元大京華
762,115,6005,群益證券
763,116,6007,富邦證券
764,117,6008,中信證券
765,118,6009,永昌證券
766,119,6010,台証證券
767,120,6012,金鼎證券
768,121,6013,京華證券
769,122,6014,日盛證券
770,123,6015,吉祥證券
771,124,6016,康和證券
772,125,6017,亞洲證券
773,126,6020,大展證券
774,127,6021,大慶證
775,128,5901,中友
776,129,5902,德記
777,130,5903,全家便利
778,131,5904,寶雅
779,132,5905,南仁湖
780,133,5301,祥裕電子
781,134,5302,太欣
782,135,5304,大霸
783,136,5305,敦南
784,137,5306,訊康
785,138,5307,耀文
786,139,5309,系統
787,140,5310,天剛
788,141,5312,寶島光學
789,142,5314,世紀
790,143,5315,光聯
791,144,5317,凱美
792,145,5318,佳鼎
793,146,5321,九德
794,147,5324,華昕
795,148,5325,大騰
796,149,5326,漢磊
797,150,5328,華容
798,151,5336,華特
799,152,5340,建榮
800,153,5344,立衛
801,154,5345,天揚
802,155,5346,力晶
803,156,5347,世界先進
804,157,5348,系通
805,158,5349,先豐
806,159,5351,鈺創
807,160,5353,台林
808,161,5355,佳總
809,162,5356,協益
810,163,5364,梅捷
811,164,5371,中強光電
812,165,5372,十美
813,166,5375,慧智
814,167,5376,東正元
815,168,5381,合正
816,169,5383,金利
817,170,5384,捷元
